date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:11:01	2899/2899	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Aug%202019%2022:10:56%20GMT	https://vps.apponfly.com/forgotpassword	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/forgotpassword.html	(from https://vps.apponfly.com/)
01:11:02	3764/3764	---M--	200	added ('OK')	image/png	etag:%221d53bf2a09bf1b4%22	https://vps.apponfly.com/lib/jqueryui/images/ui-icons_444444_256x240.png	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/lib/jqueryui/images/ui-icons_444444_256x240.png	(from https://vps.apponfly.com/lib/jqueryui/jquery-ui.min.css)
01:11:02	3767/3767	---M--	200	added ('OK')	image/png	etag:%221d53bf2a09bf1b7%22	https://vps.apponfly.com/lib/jqueryui/images/ui-icons_555555_256x240.png	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/lib/jqueryui/images/ui-icons_555555_256x240.png	(from https://vps.apponfly.com/lib/jqueryui/jquery-ui.min.css)
01:11:02	3764/3764	---M--	200	added ('OK')	image/png	etag:%221d53bf2a09bf1b4%22	https://vps.apponfly.com/lib/jqueryui/images/ui-icons_ffffff_256x240.png	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/lib/jqueryui/images/ui-icons_ffffff_256x240.png	(from https://vps.apponfly.com/lib/jqueryui/jquery-ui.min.css)
01:11:03	3767/3767	---M--	200	added ('OK')	image/png	etag:%221d53bf2a09bf1b7%22	https://vps.apponfly.com/lib/jqueryui/images/ui-icons_777620_256x240.png	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/lib/jqueryui/images/ui-icons_777620_256x240.png	(from https://vps.apponfly.com/lib/jqueryui/jquery-ui.min.css)
01:11:03	3764/3764	---M--	200	added ('OK')	image/png	etag:%221d53bf2a09bf1b4%22	https://vps.apponfly.com/lib/jqueryui/images/ui-icons_cc0000_256x240.png	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/lib/jqueryui/images/ui-icons_cc0000_256x240.png	(from https://vps.apponfly.com/lib/jqueryui/jquery-ui.min.css)
01:11:04	3764/3764	---M--	200	added ('OK')	image/png	etag:%221d53bf2a09bf1b4%22	https://vps.apponfly.com/lib/jqueryui/images/ui-icons_777777_256x240.png	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/lib/jqueryui/images/ui-icons_777777_256x240.png	(from https://vps.apponfly.com/lib/jqueryui/jquery-ui.min.css)
01:11:05	19139/19139	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d53bf2a09bb5c3%22	https://vps.apponfly.com/fonts/glyphs/winjs-symbols.eot	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/glyphs/winjs-symbols.eot	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:05	16547/16547	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d53bf2a09bbfa3%22	https://vps.apponfly.com/fonts/selawk.eot	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/selawk.eot	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:06	44224/44224	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d53bf2a09b53c0%22	https://vps.apponfly.com/fonts/selawk.ttf	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/selawk.ttf	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:06	51520/51520	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d53bf2a09b3640%22	https://vps.apponfly.com/fonts/glyphs/winjs-symbols.ttf	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/glyphs/winjs-symbols.ttf	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:07	16265/16265	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d53bf2a09bc089%22	https://vps.apponfly.com/fonts/selawkb.eot	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/selawkb.eot	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:07	44068/44068	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d53bf2a09b5324%22	https://vps.apponfly.com/fonts/selawkb.ttf	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/selawkb.ttf	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:08	16445/16445	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d53bf2a09bbf3d%22	https://vps.apponfly.com/fonts/selawkl.eot	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/selawkl.eot	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:09	44232/44232	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d53bf2a09b53c8%22	https://vps.apponfly.com/fonts/selawkl.ttf	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/selawkl.ttf	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:09	16856/16856	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d53bf2a09bbed8%22	https://vps.apponfly.com/fonts/selawksb.eot	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/selawksb.eot	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:09	44192/44192	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d53bf2a09b53a0%22	https://vps.apponfly.com/fonts/selawksb.ttf	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/selawksb.ttf	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:10	16883/16883	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d53bf2a09bbef3%22	https://vps.apponfly.com/fonts/selawksl.eot	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/selawksl.eot	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:10	44260/44260	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d53bf2a09b53e4%22	https://vps.apponfly.com/fonts/selawksl.ttf	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/fonts/selawksl.ttf	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:11	130029/130029	---M--	200	added ('OK')	image/jpeg	etag:%221d53bf2a09a04ed%22	https://vps.apponfly.com/images/example_dark.jpg	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/images/example_dark.jpg	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:11	64336/64336	---M--	200	added ('OK')	image/jpeg	etag:%221d53bf2a09b0450%22	https://vps.apponfly.com/images/example_light.jpg	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/images/example_light.jpg	(from https://vps.apponfly.com/css/winstrap.min.css)
01:11:12	182400/182400	---M--	200	added ('OK')	image/jpeg	etag:%221d53bf2a0993780%22	https://vps.apponfly.com/images/background-windows.jpg	C:/Users/AlenN/Desktop/site%20kopYALAMA/asdasdsa/vps.apponfly.com/images/background-windows.jpg	(from https://vps.apponfly.com/css/cloud-bastards.min.css?v=iG6OGnpEkmgL_vvmE9vZtsP-SXodh7_5rtJ7RLUOjV0)
